Duty Date,Duty Category,Duty Type
2011-01-01,REST,REST
2011-01-02,REST,REST
2011-01-03,REST,REST
2011-01-04,OFF,XX
2011-01-05,OFF,XX
2011-01-06,OFF,XXC
2011-01-07,OFF,XXC
2011-01-08,OFF,XXC
2011-01-09,OFF,XXC
2011-01-10,OFF,XXC
2011-01-11,OFF,XXC
2011-01-12,OFF,XXC
2011-01-13,OFF,XXC
2011-01-14,OFF,XXC
2011-01-15,OFF,XXC
2011-01-16,OFF,XXC
2011-01-17,OFF,XXC
2011-01-18,OFF,XXC
2011-01-21,OFF,XX
2011-01-22,OFF,XX
2011-01-25,REST,REST
2011-01-29,OFF,XX
2011-02-02,OFF,XX
2011-02-03,OFF,XX
2011-02-10,OFF,XX
2011-02-14,OFF,XX
2011-02-15,OFF,XX
2011-02-22,OFF,XX
2011-02-26,OFF,XX
2011-02-27,OFF,XX
2011-03-03,SBY,S22
2011-03-05,OFF,XXR
2011-03-06,SBY,SA1600
2011-03-07,REST,REST
2011-03-11,OFF,XX
2011-03-12,OFF,XX
2011-03-13,REST,REST
2011-03-14,SBY,S04
2011-03-17,OFF,XXR
2011-03-18,OFF,XXR
2011-03-19,SBY,S22
2011-03-22,SBY,S04
2011-03-25,OFF,XX
2011-03-26,OFF,XX
2011-03-27,SBY,S22
2011-03-29,OFF,XXR
2011-04-02,OFF,XXR
2011-04-03,OFF,XX
2011-04-04,REST,REST
2011-04-05,SBY,S04
2011-04-06,OFF,XX
2011-04-07,OFF,XX
2011-04-08,OFF,XX
2011-04-09,REST,REST
2011-04-15,OFF,XX
2011-04-16,OFF,XX
2011-04-17,REST,REST
2011-04-18,SBY,SA0200
2011-04-24,OFF,XX
2011-04-25,REST,REST
2011-04-28,OFF,XX
2011-04-29,OFF,XX
2011-04-30,OFF,XX
2011-05-04,OFF,XX
2011-05-05,REST,REST
2011-05-09,OFF,XX
2011-05-10,OFF,XX
2011-05-14,OFF,XX
2011-05-15,OFF,XX
2011-05-16,OFF,XX
2011-05-23,OFF,XX
2011-05-24,OFF,XX
2011-05-25,TRG,GT
2011-05-26,REST,REST
2011-05-29,OFF,XX
2011-05-31,OFF,XX
2011-06-01,OFF,XX
2011-06-02,OFF,XX
2011-06-09,OFF,XX
2011-06-10,LVE,LV
2011-06-11,LVE,LV
2011-06-12,LVE,LV
2011-06-13,LVE,LV
2011-06-14,LVE,LV
2011-06-15,LVE,LV
2011-06-16,LVE,LV
2011-06-17,LVE,LV
2011-06-18,LVE,LV
2011-06-19,LVE,LV
2011-06-20,LVE,LV
2011-06-21,LVE,LV
2011-06-22,OFF,XX
2011-06-29,OFF,XX
2011-06-30,REST,REST
2011-07-05,OFF,XX
2011-07-06,OFF,XX
2011-07-10,REST,REST
2011-07-12,OFF,XX
2011-07-16,OFF,XX
2011-07-17,OFF,XX
2011-07-19,OFF,XX
2011-07-23,OFF,XX
2011-07-29,OFF,XX
2011-07-30,OFF,XX
2011-08-08,OFF,XX
2011-08-09,OFF,XX
2011-08-11,OFF,XX
2011-08-13,OFF,XX
2011-08-17,OFF,XX
2011-08-18,LVE,LV
2011-08-19,LVE,LV
2011-08-20,LVE,LV
2011-08-21,LVE,LV
2011-08-22,LVE,LV
2011-08-23,OFF,XX
2011-08-30,OFF,XX
2011-08-31,OFF,XX
2011-09-01,SCK,SK
2011-09-02,REST,REST
2011-09-03,OFF,XX
2011-09-04,TRG,380B
2011-09-05,TRG,380B
2011-09-06,TRG,380B
2011-09-07,TRG,380B
2011-09-08,TRG,380B
2011-09-09,OFF,XX
2011-09-10,OFF,XX
2011-09-11,TRG,380B
2011-09-12,TRG,380B
2011-09-13,TRG,380B
2011-09-14,TRG,380B
2011-09-15,TRG,380B
2011-09-16,OFF,XX
2011-09-17,OFF,XX
2011-09-18,OFF,XX
2011-09-19,OFF,XX
2011-09-20,OFF,XXC
2011-09-21,OFF,XXC
2011-09-22,OFF,XX
2011-09-26,OFF,XXR
2011-09-27,GRD,UV
2011-09-28,OFF,XXV
