Flight Date,Flight Number,Flight Departure,Flight Arrival,Grade,Departure Date,Arrival Date,Flight Time
2011-01-19,0971,DXB,IKA,GR2,2011-01-19 08:15:00,2011-01-19 09:46:00,02:07
2011-01-19,0972,IKA,DXB,GR2,2011-01-19 11:21:00,2011-01-19 13:52:00,02:07
2011-01-20,0957,DXB,BEY,GR2,2011-01-20 07:53:00,2011-01-20 09:29:00,03:41
2011-01-20,0958,BEY,DXB,GR2,2011-01-20 10:42:00,2011-01-20 15:36:00,03:
2011-01-23,0602,DXB,KHI,GR2,2011-01-23 18:34:00,2011-01-23 21:25:00,01:58
2011-01-23,0603,KHI,DXB,GR2,2011-01-23 22:41:00,2011-01-23 23:53:00,02:19
2011-01-26,0302,DXB,PVG,GR2,2011-01-26 03:45:00,2011-01-26 14:41:00,07:11
2011-01-27,0303,PVG,DXB,GR2,2011-01-27 23:04:00,2011-01-28 05:23:00,10:27
2011-01-30,0037,DXB,BHX,GR2,2011-01-30 15:03:00,2011-01-30 18:21:00,07:23
2011-01-31,0038,BHX,DXB,GR2,2011-01-31 20:43:00,2011-02-01 07:23:00,06:47
2011-02-04,0600,DXB,KHI,GR2,2011-02-04 08:14:00,2011-02-04 11:18:00,02:10
2011-02-04,0601,KHI,DXB,GR2,2011-02-04 12:29:00,2011-02-04 13:39:00,02:13
2011-02-05,0562,DXB,CCJ,GR2,2011-02-05 14:51:00,2011-02-05 19:56:00,03:38
2011-02-05,0563,CCJ,DXB,GR2,2011-02-05 21:24:00,2011-02-05 23:53:00,04:05
2011-02-07,0029,DXB,LHR,GR2,2011-02-07 09:52:00,2011-02-07 14:15:00,08:36
2011-02-08,0030,LHR,DXB,GR2,2011-02-08 16:35:00,2011-02-09 02:54:00,06:32
2011-02-11,0725,DXB,DAR,GR2,2011-02-11 10:50:00,2011-02-11 15:08:00,05:22
2011-02-12,0726,DAR,DXB,GR2,2011-02-12 17:16:00,2011-02-12 23:37:00,05:30
2011-02-16,0127,DXB,VIE,GR2,2011-02-16 09:46:00,2011-02-16 12:54:00,06:13
2011-02-17,0128,VIE,DXB,GR2,2011-02-17 15:08:00,2011-02-17 23:03:00,05:07
2011-02-19,0859,DXB,KWI,GR2,2011-02-19 20:58:00,2011-02-19 21:46:00,01:57
2011-02-19,0860,KWI,DXB,GR2,2011-02-19 22:48:00,2011-02-20 01:30:00,01:52
2011-02-20,0538,DXB,AMD,GR2,2011-02-20 22:58:00,2011-02-21 02:51:00,02:27
2011-02-21,0539,AMD,DXB,GR2,2011-02-21 04:16:00,2011-02-21 05:57:00,03:22
2011-02-23,0775,DXB,DUR,GR2,2011-02-23 10:25:00,2011-02-23 16:35:00,08:18
2011-02-24,0776,DUR,DXB,GR2,2011-02-24 18:39:00,2011-02-25 05:17:00,08:48
2011-02-28,0037,DXB,BHX,GR2,2011-02-28 15:27:00,2011-02-28 18:47:00,07:28
2011-03-01,0038,BHX,DXB,GR2,2011-03-01 20:53:00,2011-03-02 07:33:00,06:44
2011-03-04,0530,DXB,COK,GR2,2011-03-04 03:15:00,2011-03-04 08:27:00,03:46
2011-03-04,0531,COK,DXB,GR2,2011-03-04 09:47:00,2011-03-04 12:12:00,03:58
2011-03-08,0308,DXB,PEK,GR2,2011-03-08 11:23:00,2011-03-08 22:28:00,07:10
2011-03-10,0309,PEK,DXB,GR2,2011-03-10 06:32:00,2011-03-10 11:00:00,08:34
2011-03-14,0747,DXB,TUN,GR2,2011-03-14 09:13:00,2011-03-14 12:35:00,06:29
2011-03-16,0748,TUN,DXB,GR2,2011-03-16 14:37:00,2011-03-16 22:58:00,05:25
2011-03-20,0815,DXB,RUH,GR2,2011-03-20 01:59:00,2011-03-20 02:41:00,01:47
2011-03-20,0816,RUH,DXB,GR2,2011-03-20 04:20:00,2011-03-20 06:55:00,01:46
2011-03-22,0035,DXB,NCL,GR2,2011-03-22 07:54:00,2011-03-22 11:47:00,07:57
2011-03-23,0036,NCL,DXB,GR2,2011-03-23 13:09:00,2011-03-24 00:27:00,07:30
2011-03-28,0526,DXB,HYD,GR2,2011-03-28 03:40:00,2011-03-28 08:31:00,03:25
2011-03-28,0527,HYD,DXB,GR2,2011-03-28 10:00:00,2011-03-28 12:08:00,03:44
2011-03-30,0107,DXB,LCA,GR2,2011-03-30 08:33:00,2011-03-30 11:23:00,03:59
2011-03-30,0107,LCA,MLA,GR2,2011-03-30 12:17:00,2011-03-30 14:08:00,02:56
2011-03-31,0108,LCA,DXB,GR2,2011-03-31 20:20:00,2011-04-01 00:25:00,03:09
2011-03-31,0108,MLA,LCA,GR2,2011-03-31 15:50:00,2011-03-31 19:21:00,02:39
2011-04-05,0516,DXB,DEL,GR2,2011-04-05 09:58:00,2011-04-05 14:20:00,03:
2011-04-05,0517,DEL,DXB,GR2,2011-04-05 16:20:00,2011-04-05 18:30:00,03:45
2011-04-10,0432,DXB,SIN,GR2,2011-04-10 03:01:00,2011-04-10 13:53:00,07:04
2011-04-11,0432,SIN,BNE,GR2,2011-04-11 15:29:00,2011-04-12 00:39:00,07:14
2011-04-13,0433,BNE,SIN,GR2,2011-04-13 02:15:00,2011-04-13 07:40:00,07:29
2011-04-14,0433,SIN,DXB,GR2,2011-04-14 09:35:00,2011-04-14 13:16:00,07:49
2011-04-19,3823,DXB,DMM,GR2,2011-04-19 02:59:00,2011-04-19 03:18:00,01:25
2011-04-19,3824,DMM,DXB,GR2,2011-04-19 04:30:00,2011-04-19 06:43:00,01:22
2011-04-21,0316,DXB,KIX,GR2,2011-04-21 03:03:00,2011-04-21 16:51:00,08:53
2011-04-22,0317,KIX,DXB,GR2,2011-04-22 23:09:00,2011-04-23 04:12:00,10:09
2011-04-26,0011,DXB,LGW,GR2,2011-04-26 03:10:00,2011-04-26 07:18:00,07:13
2011-04-27,0012,LGW,DXB,GR2,2011-04-27 10:08:00,2011-04-27 19:56:00,06:57
2011-05-01,0107,DXB,LCA,GR2,2011-05-01 08:42:00,2011-05-01 11:13:00,03:35
2011-05-01,0107,LCA,MLA,GR2,2011-05-01 12:09:00,2011-05-01 14:09:00,03:04
2011-05-02,0108,LCA,DXB,GR2,2011-05-02 20:05:00,2011-05-03 00:15:00,03:18
2011-05-02,0108,MLA,LCA,GR2,2011-05-02 15:44:00,2011-05-02 18:53:00,02:14
2011-05-06,0318,DXB,NRT,GR2,2011-05-06 02:57:00,2011-05-06 17:19:00,09:33
2011-05-07,0319,NRT,DXB,GR2,2011-05-07 21:58:00,2011-05-08 04:26:00,11:32
2011-05-11,0091,DXB,MXP,GR2,2011-05-11 16:10:00,2011-05-11 20:45:00,06:42
2011-05-12,0092,MXP,DXB,GR2,2011-05-12 22:24:00,2011-05-13 06:22:00,06:11
2011-05-17,0049,DXB,MUC,GR2,2011-05-17 08:46:00,2011-05-17 12:39:00,06:
2011-05-18,0050,MUC,DXB,GR2,2011-05-18 15:39:00,2011-05-18 23:49:00,06:15
2011-05-20,0318,DXB,NRT,GR2,2011-05-20 02:54:00,2011-05-20 17:20:00,09:34
2011-05-21,0319,NRT,DXB,GR2,2011-05-21 21:59:00,2011-05-22 04:03:00,11:14
2011-05-27,0650,DXB,CMB,GR2,2011-05-27 02:49:00,2011-05-27 08:52:00,04:36
2011-05-28,0651,CMB,DXB,GR2,2011-05-28 10:15:00,2011-05-28 13:01:00,04:22
2011-05-30,0825,DXB,DMM,GR2,2011-05-30 16:34:00,2011-05-30 16:43:00,01:15
2011-05-30,0826,DMM,DXB,GR2,2011-05-30 18:18:00,2011-05-30 20:34:00,01:22
2011-06-03,0406,DXB,MEL,GR2,2011-06-03 10:27:00,2011-06-04 04:54:00,12:32
2011-06-05,0406,MEL,AKL,GR2,2011-06-05 07:11:00,2011-06-05 12:41:00,03:43
2011-06-06,0407,AKL,MEL,GR2,2011-06-06 18:05:00,2011-06-06 19:54:00,03:31
2011-06-07,0407,MEL,DXB,GR2,2011-06-07 21:17:00,2011-06-08 04:57:00,13:47
2011-06-23,0857,DXB,KWI,GR2,2011-06-23 16:18:00,2011-06-23 16:51:00,01:39
2011-06-23,0858,KWI,DXB,GR2,2011-06-23 18:13:00,2011-06-23 20:50:00,01:44
2011-06-24,0514,DXB,DEL,GR2,2011-06-24 15:42:00,2011-06-24 20:17:00,03:18
2011-06-24,0515,DEL,DXB,GR2,2011-06-24 21:52:00,2011-06-24 23:49:00,03:33
2011-06-26,0039,DXB,BHX,GR2,2011-06-26 08:29:00,2011-06-26 12:47:00,07:23
2011-06-27,0040,BHX,DXB,GR2,2011-06-27 14:42:00,2011-06-28 00:33:00,06:56
2011-07-01,0530,DXB,COK,GR2,2011-07-01 03:47:00,2011-07-01 09:21:00,04:08
2011-07-01,0531,COK,DXB,GR2,2011-07-01 10:37:00,2011-07-01 12:39:00,03:38
2011-07-03,0007,DXB,LHR,GR2,2011-07-03 02:46:00,2011-07-03 07:04:00,07:26
2011-07-04,0008,LHR,DXB,GR2,2011-07-04 08:52:00,2011-07-04 18:26:00,06:40
2011-07-07,0015,DXB,LGW,GR2,2011-07-07 08:08:00,2011-07-07 12:08:00,07:10
2011-07-08,0016,LGW,DXB,GR2,2011-07-08 14:43:00,2011-07-09 00:31:00,06:54
2011-07-11,0975,DXB,IKA,GR2,2011-07-11 01:01:00,2011-07-11 03:19:00,01:57
2011-07-11,0976,IKA,DXB,GR2,2011-07-11 05:40:00,2011-07-11 07:04:00,01:57
2011-07-13,0029,DXB,LHR,GR2,2011-07-13 09:51:00,2011-07-13 13:55:00,07:14
